Ensembl	Name	Biotype	GeneLength	SumExonLength
ENSG00000217896	ZNF839P1	pseudogene	1224	861
ENSG00000217897	HSPE1P8	pseudogene	605	288
ENSG00000203257	AL691479.1	pseudogene	539	528
ENSG00000203258	RP11-47J17.2	antisense	1740	566
ENSG00000144354	CDCA7	protein_coding	14178	3934
ENSG00000144355	DLX1	protein_coding	4938	3656
ENSG00000144357	UBR3	protein_coding	256674	10160
ENSG00000217889	KRT18P48	pseudogene	852	852
ENSG00000242802	AP5Z1	protein_coding	18691	6873
ENSG00000119383	PPP2R4	protein_coding	37997	5907
ENSG00000158985	CDC42SE2	protein_coding	152955	6024
ENSG00000158987	RAPGEF6	protein_coding	211316	11125
ENSG00000120370	GORAB	protein_coding	21318	3773
ENSG00000217878	RP11-534P19.1	pseudogene	330	330
ENSG00000242814	RP11-436H11.1	pseudogene	406	406
ENSG00000217874	OR4F7P	pseudogene	931	931
ENSG00000242810	MRPL42P6	pseudogene	371	371
ENSG00000119392	GLE1	protein_coding	37589	3527
ENSG00000242811	RN7SL229P	misc_RNA	296	296
ENSG00000119396	RAB14	protein_coding	44878	4304
ENSG00000119397	CNTRL	protein_coding	102748	9417
ENSG00000144339	TMEFF2	protein_coding	246667	6632
ENSG00000144331	ZNF385B	protein_coding	419524	5310
ENSG00000242807	RPL26P31	pseudogene	433	433
ENSG00000242808	SOX2-OT	sense_overlapping	847111	9362
ENSG00000158966	CACHD1	protein_coding	222314	6392
ENSG00000134996	OSTF1	protein_coding	58723	1319
ENSG00000036530	CYP46A1	protein_coding	42998	9354
ENSG00000144320	KIAA1715	protein_coding	78948	9122
ENSG00000158955	WNT9B	protein_coding	53530	3313
ENSG00000134970	TMED7	protein_coding	19485	3894
ENSG00000158941	CCAR2	protein_coding	16883	6534
ENSG00000120337	TNFSF18	protein_coding	11004	2008
ENSG00000120334	CENPL	protein_coding	25171	4914
ENSG00000144306	SCRN3	protein_coding	33846	4144
ENSG00000120332	TNN	protein_coding	80209	5008
ENSG00000120333	MRPS14	protein_coding	12637	2594
ENSG00000134986	NREP	protein_coding	334844	9337
ENSG00000134987	WDR36	protein_coding	38787	7656
ENSG00000134982	APC	protein_coding	138742	12475
ENSG00000036549	ZZZ3	protein_coding	121004	9008
ENSG00000120341	SEC16B	protein_coding	60348	7377
ENSG00000134955	SLC37A2	protein_coding	26169	5294
ENSG00000217824	SNRPEP6	pseudogene	277	277
ENSG00000217825	AC099552.4	protein_coding	1893	744
ENSG00000134954	ETS1	protein_coding	128798	7153
ENSG00000110987	BCL7A	protein_coding	42621	6563
ENSG00000119321	FKBP15	protein_coding	60356	11060
ENSG00000120314	WDR55	protein_coding	9449	7675
ENSG00000119326	CTNNAL1	protein_coding	70959	3129
ENSG00000119328	FAM206A	protein_coding	16564	2745
ENSG00000120318	ARAP3	protein_coding	28821	6186
ENSG00000109991	P2RX3	protein_coding	32226	2614
ENSG00000110975	SYT10	protein_coding	65582	5082
ENSG00000217811	HNRNPDP2	pseudogene	478	478
ENSG00000134962	KLB	protein_coding	44684	6082
ENSG00000119333	WDR34	protein_coding	23127	2604
ENSG00000119335	SET	protein_coding	12977	4355
ENSG00000036565	SLC18A1	protein_coding	38352	3910
ENSG00000120324	PCDHB10	protein_coding	3274	3274
ENSG00000120329	SLC25A2	protein_coding	1417	1417
ENSG00000120327	PCDHB14	protein_coding	2928	2928
ENSG00000120328	PCDHB12	protein_coding	3428	3428
ENSG00000120322	PCDHB8	protein_coding	2711	2711
ENSG00000217801	RP11-465B22.3	pseudogene	9622	2171
ENSG00000158901	WFDC8	protein_coding	28174	1529
ENSG00000217809	FAT1P1	pseudogene	507	507
ENSG00000217805	RP11-191A15.2	pseudogene	387	387
ENSG00000134940	ACRV1	protein_coding	9602	2212
ENSG00000119314	PTBP3	protein_coding	115233	7520
ENSG00000119318	RAD23B	protein_coding	49058	4615
ENSG00000120306	CYSTM1	protein_coding	107411	2183
ENSG00000252192	SNORA9	snoRNA	129	129
ENSG00000252193	SCARNA15	snoRNA	125	125
ENSG00000252190	SCARNA17	snoRNA	125	125
ENSG00000252191	RNU6-751P	snRNA	101	101
ENSG00000119401	TRIM32	protein_coding	13999	3780
ENSG00000119402	FBXW2	protein_coding	41435	11263
ENSG00000119403	PHF19	protein_coding	21630	6547
ENSG00000119408	NEK6	protein_coding	95702	4419
ENSG00000252196	AL590482.1	miRNA	71	71
ENSG00000252198	Y_RNA	misc_RNA	149	149
ENSG00000252199	SNORA70	snoRNA	95	95
ENSG00000252181	AC020703.1	miRNA	85	85
ENSG00000252182	RNA5SP413	rRNA	109	109
ENSG00000252180	Y_RNA	misc_RNA	88	88
ENSG00000119411	BSPRY	protein_coding	21693	2339
ENSG00000119414	PPP6C	protein_coding	43367	4443
ENSG00000252185	RNU6-752P	snRNA	102	102
ENSG00000252186	RNU6-781P	snRNA	101	101
ENSG00000252183	RNU6-948P	snRNA	107	107
ENSG00000252184	RNU2-10P	snRNA	211	211
ENSG00000252189	U3	snoRNA	110	110
ENSG00000252187	AC051649.1	miRNA	150	150
ENSG00000252188	SNORA40	snoRNA	120	120
ENSG00000085514	PILRA	protein_coding	32567	2003
ENSG00000085511	MAP3K4	protein_coding	125659	7522
ENSG00000266799	AP003356.1	miRNA	85	85
ENSG00000227192	RP1-45I4.3	antisense	2900	552
ENSG00000227193	RP11-439A17.4	lincRNA	28665	494
ENSG00000227191	TRGC2	TR_C_gene	9993	1013
ENSG00000266793	AL137008.1	miRNA	64	64
ENSG00000227196	IGHD4-23	IG_D_gene	19	19
ENSG00000266794	RN7SL7P	misc_RNA	296	296
ENSG00000227197	AC009518.8	antisense	18901	799
ENSG00000227194	GLUD1P7	pseudogene	6101	207
ENSG00000266791	5S_rRNA	rRNA	132	132
ENSG00000266792	RN7SL839P	misc_RNA	291	291
ENSG00000227195	MIR663A	processed_transcript	64607	4401
ENSG00000266797	NBPF23	pseudogene	40426	2129
ENSG00000266798	AC078816.1	miRNA	91	91
ENSG00000227198	C6orf47-AS1	antisense	2393	673
ENSG00000266795	RP11-744K17.9	lincRNA	6654	3795
ENSG00000227199	ST7-AS1	antisense	1889	1889
ENSG00000266796	CT009496.1	protein_coding	3446	1809
ENSG00000252158	SNORA72	snoRNA	94	94
ENSG00000252159	RNY4P1	misc_RNA	96	96
ENSG00000266790	RNU6-1071P	snRNA	101	101
ENSG00000252153	MIR2278	miRNA	96	96
ENSG00000252150	AC092574.2	miRNA	109	109
ENSG00000252151	RNU6-1265P	snRNA	103	103
ENSG00000252156	RNU6-155P	snRNA	100	100
ENSG00000252157	RNU6-479P	snRNA	105	105
ENSG00000252154	SNORD112	snoRNA	74	74
ENSG00000252155	RNU6-941P	snRNA	108	108
ENSG00000266788	MIR4283-1	miRNA	80	80
ENSG00000266782	MIR3663	miRNA	97	97
ENSG00000266783	RP11-715F3.2	sense_intronic	1049	1049
ENSG00000266780	MIR4444-1	miRNA	74	74
ENSG00000266781	Y_RNA	misc_RNA	95	95
ENSG00000266786	RP1-66C13.3	pseudogene	8823	764
ENSG00000266787	RNA5SP313	rRNA	116	116
ENSG00000266784	U6	snRNA	107	107
ENSG00000266785	hsa-mir-877	miRNA	86	86
ENSG00000252149	RNA5SP315	rRNA	116	116
ENSG00000252147	Y_RNA	misc_RNA	101	101
ENSG00000252148	RNU6-1206P	snRNA	103	103
ENSG00000252141	RNU6-65P	snRNA	98	98
ENSG00000252142	AL022314.1	miRNA	60	60
ENSG00000252145	RNU6-1225P	snRNA	65	65
ENSG00000252146	AL390776.1	miRNA	74	74
ENSG00000252143	SCARNA17	snoRNA	143	143
ENSG00000252144	SNORD112	snoRNA	71	71
ENSG00000183900	AC099522.1	pseudogene	2270	2269
ENSG00000252170	SNORD112	snoRNA	72	72
ENSG00000252171	Y_RNA	misc_RNA	113	113
ENSG00000183908	LRRC55	protein_coding	9971	5410
ENSG00000183909	OR4G2P	pseudogene	903	903
ENSG00000085563	ABCB1	protein_coding	209437	5552
ENSG00000252174	RNU7-18P	snRNA	62	62
ENSG00000252175	U3	snoRNA	122	122
ENSG00000252172	RNU6-720P	snRNA	108	108
ENSG00000252173	RNU6-109P	snRNA	107	107
ENSG00000252178	RNU7-69P	snRNA	62	62
ENSG00000252179	RNA5SP255	rRNA	107	107
ENSG00000252176	AC123767.1	miRNA	91	91
ENSG00000252177	AC005513.1	miRNA	85	85
ENSG00000252169	RNA5SP200	rRNA	103	103
ENSG00000085552	IGSF9	protein_coding	18558	6620
ENSG00000252163	RN7SKP31	misc_RNA	278	278
ENSG00000252164	RNA5SP282	rRNA	108	108
ENSG00000252161	RNA5SP318	rRNA	92	92
ENSG00000252162	RNU6-830P	snRNA	107	107
ENSG00000252167	RNA5SP287	rRNA	103	103
ENSG00000252166	RNU1-95P	snRNA	160	160
ENSG00000266757	AC092962.1	miRNA	78	78
ENSG00000266758	MIR3680-2	miRNA	87	87
ENSG00000266755	SNORD83	snoRNA	78	78
ENSG00000266756	MIR5680	miRNA	84	84
ENSG00000266759	Y_RNA	misc_RNA	114	114
ENSG00000183929	DUSP5P1	pseudogene	43266	2463
ENSG00000227152	OR2T7	protein_coding	927	927
ENSG00000266750	MIR4645	miRNA	77	77
ENSG00000227150	RP11-473E2.3	lincRNA	1160	280
ENSG00000227151	PRR20D	protein_coding	3022	1847
ENSG00000266753	RP11-690G19.3	lincRNA	1654	1654
ENSG00000227157	AC068535.2	lincRNA	4412	471
ENSG00000266754	RN7SL524P	misc_RNA	296	296
ENSG00000266751	MIR3661	miRNA	96	96
ENSG00000227154	MKRNP2	pseudogene	6823	839
ENSG00000242781	RP11-47P18.2	lincRNA	24458	712
ENSG00000227155	RP11-165F24.3	antisense	37809	3423
ENSG00000252116	RNU4ATAC4P	snRNA	126	126
ENSG00000252117	RNU6-1108P	snRNA	104	104
ENSG00000252114	SNORA73	snoRNA	224	224
ENSG00000227158	AC073621.2	pseudogene	1024	1024
ENSG00000252115	Y_RNA	misc_RNA	88	88
ENSG00000227159	DDX11L16	pseudogene	2526	1720
ENSG00000252118	RNU6ATAC39P	snRNA	149	149
ENSG00000252119	ACA64	snoRNA	117	117
ENSG00000252112	SNORD63	snoRNA	64	64
ENSG00000252113	RNU6-523P	snRNA	61	61
ENSG00000252110	snoU13	snoRNA	94	94
ENSG00000252111	AC002981.1	miRNA	84	84
ENSG00000183911	RPL21P132	pseudogene	1018	462
ENSG00000266746	RP11-1109M24.7	pseudogene	337	337
ENSG00000266747	Y_RNA	misc_RNA	99	99
ENSG00000266744	RP11-131K5.1	lincRNA	9205	511
ENSG00000266745	MIR3135A	miRNA	77	77
ENSG00000183914	DNAH2	protein_coding	116391	17231
ENSG00000242797	GLYCTK-AS1	processed_transcript	10485	836
ENSG00000242798	RP11-506M12.1	antisense	11926	572
ENSG00000227160	RP1-65P5.1	pseudogene	231361	1190
ENSG00000266748	FMO5	protein_coding	39380	2632
ENSG00000183918	SH2D1A	protein_coding	26812	2450
ENSG00000266749	RN7SL46P	misc_RNA	272	272
ENSG00000227163	RP5-1198O20.5	pseudogene	520	520
ENSG00000242793	AC135999.2	pseudogene	479	479
ENSG00000242794	RN7SL299P	misc_RNA	280	280
ENSG00000227164	AL354993.1	protein_coding	670	670
ENSG00000242795	RP11-3K16.2	sense_intronic	10442	513
ENSG00000227161	AC092755.4	sense_overlapping	28005	97
ENSG00000227167	RP11-570H19.2	lincRNA	1624	237
ENSG00000242790	RP11-451G4.3	lincRNA	2989	444
ENSG00000266743	RP11-94B19.6	lincRNA	4435	464
ENSG00000227168	RPL35AP4	pseudogene	102	102
ENSG00000242791	RP11-651P23.5	lincRNA	2601	721
ENSG00000227165	WDR11-AS1	antisense	89398	3398
ENSG00000266740	MIR4708	miRNA	67	67
ENSG00000227166	STSP1	pseudogene	46116	1151
ENSG00000266741	POLR3GL	protein_coding	14146	1165
ENSG00000252105	RNU1-143P	snRNA	146	146
ENSG00000168303	MPLKIP	protein_coding	8637	7668
ENSG00000252106	Y_RNA	misc_RNA	98	98
ENSG00000227169	RP1-37J18.1	lincRNA	411	356
ENSG00000168301	KCTD6	protein_coding	10247	3068
ENSG00000252103	RNU6-917P	snRNA	104	104
ENSG00000252104	RNU6-191P	snRNA	94	94
ENSG00000252109	snoZ178	snoRNA	90	90
ENSG00000168300	PCMTD1	protein_coding	81596	7307
ENSG00000252107	RNA5SP220	rRNA	104	104
ENSG00000252108	RNU6-1232P	snRNA	86	86
ENSG00000168309	FAM107A	protein_coding	63494	5321
ENSG00000252101	RNU6-758P	snRNA	87	87
ENSG00000252102	SNORA63	snoRNA	98	98
ENSG00000168306	ACOX2	protein_coding	32184	3859
ENSG00000183921	SDR42E2	protein_coding	25458	2528
ENSG00000252100	AC002539.2	miRNA	87	87
ENSG00000266779	COPG2	protein_coding	186321	4580
ENSG00000266777	SH3GL1P1	pseudogene	2855	2855
ENSG00000266778	hsa-mir-548ba	miRNA	97	97
ENSG00000227170	AF178030.2	antisense	1724	402
ENSG00000227171	RNF39	protein_coding	5622	2206
ENSG00000266771	RP11-19P22.10	pseudogene	104	104
ENSG00000266772	AC091738.2	miRNA	100	100
ENSG00000227175	RP11-214D15.2	antisense	1747	380
ENSG00000227172	AC011290.4	antisense	20594	414
ENSG00000227173	MYL6P3	pseudogene	432	432
ENSG00000266770	RN7SL619P	misc_RNA	254	254
ENSG00000266775	RP11-218M11.6	antisense	771	771
ENSG00000227178	OR2B4P	pseudogene	943	943
ENSG00000227179	PGCP1	pseudogene	8960	1358
ENSG00000266776	MIR4646	miRNA	63	63
ENSG00000227176	AC092641.2	pseudogene	1071	772
ENSG00000266773	RP11-495P10.1	lincRNA	14165	1800
ENSG00000227177	AIMP1P2	pseudogene	312	312
ENSG00000266774	RP11-321M21.1	lincRNA	4255	748
ENSG00000168314	MOBP	protein_coding	62282	9237
ENSG00000252138	SNORA40	snoRNA	111	111
ENSG00000252139	SCARNA18	snoRNA	83	83
ENSG00000252136	SNORA31	snoRNA	108	108
ENSG00000252137	RNU6-1338P	snRNA	91	91
ENSG00000168310	IRF2	protein_coding	86868	3116
ENSG00000252130	RNU6-1045P	snRNA	107	107
ENSG00000252131	AL844165.1	miRNA	135	135
ENSG00000252134	Y_RNA	misc_RNA	115	115
ENSG00000252135	RNVU1-2	snRNA	135	135
ENSG00000252132	RNU6-795P	snRNA	103	103
ENSG00000252133	SNORA70	snoRNA	95	95
ENSG00000266768	AC016727.1	miRNA	99	99
ENSG00000266769	AL353751.1	miRNA	67	67
ENSG00000183935	HTR7P1	pseudogene	2957	2299
ENSG00000266766	AL512503.1	protein_coding	134590	4310
ENSG00000266767	RP11-678G15.2	antisense	13522	1737
ENSG00000227181	RP11-317P15.3	lincRNA	1683	259
ENSG00000227182	VN1R28P	pseudogene	896	896
ENSG00000183938	TRBV21OR9-2	TR_V_gene	466	367
ENSG00000227180	AC013467.1	pseudogene	1633	1041
ENSG00000227185	RP11-544D21.1	lincRNA	6737	430
ENSG00000266760	MIR4464	miRNA	92	92
ENSG00000227186	RP11-77G23.5	antisense	777	380
ENSG00000266761	MIR3194	miRNA	73	73
ENSG00000227183	HDGFP1	pseudogene	252	252
ENSG00000227184	EPPK1	protein_coding	13136	7997
ENSG00000227189	AC092535.3	antisense	2330	2165
ENSG00000266764	C1orf51	protein_coding	4551	2696
ENSG00000266765	CTD-2582D11.1	lincRNA	17130	419
ENSG00000227187	RP11-6C10.1	pseudogene	415	415
ENSG00000266763	AL033528.1	miRNA	74	74
ENSG00000227188	RP5-1104E15.6	antisense	1016	498
ENSG00000252127	SNORA70	snoRNA	95	95
ENSG00000252128	SNORD27	snoRNA	72	72
ENSG00000252125	RNU6-1299P	snRNA	100	100
ENSG00000252126	RNU6-313P	snRNA	111	111
ENSG00000252129	SNORA74	snoRNA	180	180
ENSG00000252120	AL136137.1	miRNA	85	85
ENSG00000168329	CX3CR1	protein_coding	18242	3655
ENSG00000252123	RNU7-72P	snRNA	62	62
ENSG00000183941	HIST2H4A	protein_coding	7119	1880
ENSG00000252124	AL031594.1	miRNA	77	77
ENSG00000252121	RNU6-970P	snRNA	107	107
ENSG00000217791	ASS1P9	pseudogene	1236	1236
ENSG00000183943	PRKX	protein_coding	109239	6452
ENSG00000252122	SNORA76	snoRNA	135	135
ENSG00000217792	KIR3DL2	protein_coding	8677	999
ENSG00000266713	AC009695.1	miRNA	89	89
ENSG00000242747	RP11-30K9.1	pseudogene	476	476
ENSG00000266714	MYO15B	protein_coding	38791	12862
ENSG00000266711	RP11-398J5.1	antisense	3681	547
ENSG00000242748	RPL23AP81	pseudogene	467	467
ENSG00000266712	hsa-mir-3149	miRNA	83	83
ENSG00000266717	RP11-855A2.3	antisense	862	709
ENSG00000266718	RP11-466A19.1	antisense	3798	2480
ENSG00000266715	MIR5090	miRNA	85	85
ENSG00000266716	Y_RNA	misc_RNA	114	114
ENSG00000242741	RP11-20B7.1	lincRNA	94266	782
ENSG00000227112	RP1-86D1.4	antisense	1152	339
ENSG00000227113	RP11-460N20.4	pseudogene	3758	232
ENSG00000266710	RN7SL48P	misc_RNA	289	289
ENSG00000227110	LMCD1-AS1	antisense	659119	6458
ENSG00000227116	RP3-471C18.1	lincRNA	4141	470
ENSG00000227117	CTA-85E5.10	antisense	71739	1439
ENSG00000227114	AC018696.3	pseudogene	139	139
ENSG00000168334	XIRP1	protein_coding	9387	6467
ENSG00000227115	RP11-267C16.1	lincRNA	216321	5513
ENSG00000168333	C8orf22	protein_coding	21780	2059
ENSG00000227118	BTF3P13	pseudogene	490	490
ENSG00000183971	NPW	protein_coding	10830	1193
ENSG00000266708	RP11-661O13.1	antisense	1169	780
ENSG00000266709	RP11-214O1.2	lincRNA	1652	1652
ENSG00000242757	CTD-2090I13.3	pseudogene	451	451
ENSG00000183955	SETD8	protein_coding	25586	4579
ENSG00000266702	AL732442.1	miRNA	94	94
ENSG00000266703	MIR4490	miRNA	84	84
ENSG00000242759	LINC00882	lincRNA	403831	3882
ENSG00000266700	AL139396.1	miRNA	84	84
ENSG00000266701	AC005702.4	miRNA	82	82
ENSG00000242753	RP11-716O23.2	lincRNA	28485	686
ENSG00000266706	AL122127.5	miRNA	60	60
ENSG00000266707	PSMD7P1	pseudogene	546	546
ENSG00000266704	MIR4498	miRNA	66	66
ENSG00000266705	MIR4437	miRNA	60	60
ENSG00000242756	RHOT1P3	pseudogene	331	331
ENSG00000227120	AC009238.7	pseudogene	424	424
ENSG00000242752	TRNAQ41P	pseudogene	72	72
ENSG00000227123	RPL12P44	pseudogene	810	502
ENSG00000227124	ZNF717	protein_coding	75941	6917
ENSG00000227121	RP11-319F12.2	lincRNA	2328	415
ENSG00000227122	PRRT1	protein_coding	6015	4261
ENSG00000227128	LBX1-AS1	antisense	40555	3448
ENSG00000168348	INSM2	protein_coding	3013	3013
ENSG00000227125	AP002856.6	lincRNA	10165	562
ENSG00000227129	NEU1	protein_coding	5248	4822
ENSG00000183960	KCNH8	protein_coding	387193	6232
ENSG00000183963	SMTN	protein_coding	40653	10094
ENSG00000242768	RP11-556G22.1	pseudogene	359	359
ENSG00000266735	RNU6-1226P	snRNA	107	107
ENSG00000242769	RN7SL432P	misc_RNA	296	296
ENSG00000266736	RP11-260A9.4	pseudogene	28408	541
ENSG00000266733	TBC1D29	protein_coding	6382	3842
ENSG00000266734	AP003471.3	miRNA	94	94
ENSG00000242764	RN7SL824P	misc_RNA	295	295
ENSG00000266739	AL138796.1	miRNA	66	66
ENSG00000242766	IGKV1D-17	IG_V_gene	657	532
ENSG00000266737	MIR4691	miRNA	85	85
ENSG00000266738	MIR4757	miRNA	77	77
ENSG00000242767	ZBTB20-AS4	lincRNA	2639	675
ENSG00000168350	DEGS2	protein_coding	13745	2004
ENSG00000227131	RP11-552E20.1	lincRNA	4672	539
ENSG00000227134	AC093084.1	pseudogene	687	687
ENSG00000266731	AL732314.1	miRNA	101	101
ENSG00000227135	GCSAML-AS1	antisense	2074	1638
ENSG00000266732	AL359922.1	miRNA	67	67
ENSG00000227132	XXbac-BPG118E17.9	processed_transcript	4797	612
ENSG00000227133	AC011742.5	pseudogene	1114	434
ENSG00000266730	RN7SL773P	misc_RNA	286	286
ENSG00000227138	RP11-421B23.2	pseudogene	169	169
ENSG00000227139	RP11-533N14.3	lincRNA	1548	446
ENSG00000168356	SCN11A	protein_coding	104793	7705
ENSG00000227136	LINC00595	lincRNA	63268	2298
ENSG00000227137	OR5V1	protein_coding	76298	1335
ENSG00000183977	PP2D1	protein_coding	32370	2523
ENSG00000266724	AC108721.2	miRNA	83	83
ENSG00000242779	ZNF702P	pseudogene	69648	4769
ENSG00000183978	COA3	protein_coding	3558	1922
ENSG00000183979	NPB	protein_coding	2161	2161
ENSG00000266722	MIR3940	miRNA	102	102
ENSG00000266723	RP11-533N14.3	lincRNA	1542	446
ENSG00000242775	RP11-875H7.2	lincRNA	1387	384
ENSG00000266728	AC015688.3	protein_coding	17414	730
ENSG00000266729	RP11-534N16.1	antisense	83621	1149
ENSG00000266726	5S_rRNA	rRNA	121	121
ENSG00000266727	AC004824.1	miRNA	64	64
ENSG00000227141	RP11-545A16.3	pseudogene	2471	2471
ENSG00000242771	TRBV5-2	TR_V_pseudogene	273	273
ENSG00000227140	USP17L5	protein_coding	1593	1593
ENSG00000227145	IL21-AS1	antisense	70174	3748
ENSG00000266720	RN7SL14P	misc_RNA	296	296
ENSG00000266721	MIR5695	miRNA	85	85
ENSG00000227143	LINC01153	lincRNA	7267	2864
ENSG00000242770	RP11-180K7.1	processed_transcript	10342	770
ENSG00000227144	VWA7	protein_coding	11726	3703
ENSG00000227149	AC092156.3	pseudogene	243	243
ENSG00000168367	LINC00917	lincRNA	17840	3179
ENSG00000227147	TRIM15	protein_coding	9491	2524
ENSG00000227148	RP11-196D18.1	lincRNA	9605	419
ENSG00000183981	MAGEA13P	pseudogene	1053	1053
ENSG00000266719	MIR4676	miRNA	72	72
ENSG00000266911	RP1-161P9.5	sense_intronic	1127	480
ENSG00000242945	RPL29P32	pseudogene	472	472
ENSG00000266912	CTC-325H20.2	lincRNA	1115	1115
ENSG00000266910	CTC-448F2.6	pseudogene	734	734
ENSG00000266915	MRPS5P4	pseudogene	325	325
ENSG00000242941	CTD-2325P2.2	pseudogene	494	494
ENSG00000266916	CTD-3064H18.1	antisense	9886	1319
ENSG00000266913	CTC-548K16.2	lincRNA	64739	1016
ENSG00000242943	NKAIN1P1	pseudogene	582	582
ENSG00000168491	CCDC110	protein_coding	26578	3388
ENSG00000227310	RP11-144G6.10	lincRNA	10761	834
ENSG00000227311	RP1-228H13.1	pseudogene	483	483
ENSG00000168490	PHYHIP	protein_coding	12633	4165
ENSG00000227314	MSH5	protein_coding	24911	6623
ENSG00000227315	NEU1	protein_coding	5249	4823
ENSG00000227312	RP11-496D1.2	pseudogene	348	348
ENSG00000227313	RP11-309N24.1	lincRNA	2090	868
ENSG00000168497	SDPR	protein_coding	12954	3229
ENSG00000227318	RP11-282E4.1	pseudogene	1626	1626
ENSG00000203343	AC009107.1	pseudogene	487	480
ENSG00000203344	AC018696.2	pseudogene	727	699
ENSG00000227319	RBM22P6	pseudogene	865	865
ENSG00000168495	POLR3D	protein_coding	9497	5613
ENSG00000168496	FEN1	protein_coding	4608	2478
